Sample,FileName
A1_MBS,20230427-46-A1-MBS-SB
A2_MBS,20230427-47-A2-MBS-SB
A3_MBS,20230427-48-A3-MBS-SB
A4_MBS,20230427-49-A4-MBS-SB
A5_MBS,20230427-50-A5-MBS-SB
A6_MBS,20230427-51-A6-MBS-SB
A7_MBS,20230427-52-A7-MBS-SB
A8_MBS,20230427-53-A8-MBS-SB
A9_MBS,20230427-54-A9-MBS-SB
A10_MBS,20230427-55-A10-MBS-SB
A11_MBS,20230427-56-A11-MBS-SB
A12_MBS,20230427-57-A12-MBS-SB
B1_MBS,20230427-58-B1-MBS-SB
B2_MBS,20230427-59-B2-MBS-SB
B3_MBS,20230427-60-B3-MBS-SB
B4_MBS,20230427-61-B4-MBS-SB
B5_MBS,20230427-62-B5-MBS-SB
B6_MBS,20230427-63-B6-MBS-SB
B7_MBS,20230427-64-B7-MBS-SB
B8_MBS,20230427-65-B8-MBS-SB
B9_MBS,20230427-66-B9-MBS-SB
B10_MBS,20230427-67-B10-MBS-SB
B11_MBS,20230427-68-B11-MBS-SB
B12_MBS,20230427-69-B12-MBS-SB
C1_MBS,20230427-70-C1-MBS-SB
C2_MBS,20230427-71-C2-MBS-SB
C3_MBS,20230427-72-C3-MBS-SB
C4_MBS,20230427-73-C4-MBS-SB
C5_MBS,20230427-74-C5-MBS-SB
C6_MBS,20230427-75-C6-MBS-SB
C7_MBS,20230427-76-C7-MBS-SB
C8_MBS,20230427-77-C8-MBS-SB
C9_MBS,20230427-78-C9-MBS-SB
C10_MBS,20230427-79-C10-MBS-SB
C11_MBS,20230427-80-C11-MBS-SB
C12_MBS,20230427-81-C12-MBS-SB
A1_PBS,20230427-82-A1-PBS-SB
A2_PBS,20230427-83-A2-PBS-SB
A3_PBS,20230427-84-A3-PBS-SB
A4_PBS,20230427-85-A4-PBS-SB
A5_PBS,20230427-86-A5-PBS-SB
A6_PBS,20230427-87-A6-PBS-SB
A7_PBS,20230427-88-A7-PBS-SB
A8_PBS,20230427-89-A8-PBS-SB
A9_PBS,20230427-90-A9-PBS-SB
A10_PBS,20230427-91-A10-PBS-SB
A11_PBS,20230427-92-A11-PBS-SB
A12_PBS,20230427-93-A12-PBS-SB
B1_PBS,20230427-94-B1-PBS-SB
B2_PBS,20230427-95-B2-PBS-SB
B3_PBS,20230427-96-B3-PBS-SB
B4_PBS,20230427-97-B4-PBS-SB
B5_PBS,20230427-98-B5-PBS-SB
B6_PBS,20230427-99-B6-PBS-SB
B7_PBS,20230427-100-B7-PBS-SB
B8_PBS,20230427-101-B8-PBS-SB
B9_PBS,20230427-102-B9-PBS-SB
B10_PBS,20230427-103-B10-PBS-SB
B11_PBS,20230427-104-B11-PBS-SB
B12_PBS,20230427-105-B12-PBS-SB
C1_PBS,20230427-106-C1-PBS-SB
C2_PBS,20230427-107-C2-PBS-SB
C3_PBS,20230427-108-C3-PBS-SB
C4_PBS,20230427-109-C4-PBS-SB
C5_PBS,20230427-110-C5-PBS-SB
C6_PBS,20230427-111-C6-PBS-SB
C7_PBS,20230427-112-C7-PBS-SB
C8_PBS,20230427-113-C8-PBS-SB
C9_PBS,20230427-114-C9-PBS-SB
C10_PBS,20230427-115-C10-PBS-SB
C11_PBS,20230427-116-C11-PBS-SB
C12_PBS,20230427-117-C12-PBS-SB
Hal_gDNA_150_1,20230501-10-Hal-gDNA-150-1-SB
Hal_gDNA_150_2,20230501-11-Hal-gDNA-150-2-SB
Hal_gDNA_150_3,20230501-12-Hal-gDNA-150-3-SB
Hnep_gDNA_150_1,20230501-13-Hnep-gDNA-150-1-SB
Hnep_gDNA_150_2,20230501-14-Hnep-gDNA-150-2-SB
Hnep_gDNA_150_3,20230501-15-Hnep-gDNA-150-3-SB
Sele_gDNA_150_1,20230501-16-Sele-gDNA-150-1-SB
Sele_gDNA_150_2,20230501-17-Sele-gDNA-150-2-SB
Sele_gDNA_150_3,20230501-18-Sele-gDNA-150-3-SB
