Sample	Total_Reads	Quality_trimmed	Adapter_trimmed	Trimmed_Reads	Merged	Matched
A1_MBS	32981.0	2258.0	32579.5	31552.0	31303	28043
A2_MBS	39877.0	2669.5	39333.5	38059.0	37790	33716
A3_MBS	26112.0	1655.0	25776.0	25187.0	25001	22459
A4_MBS	29735.0	2063.5	29362.5	27738.0	27534	24492
A5_MBS	39548.0	2532.0	39104.0	36316.0	36042	31940
A6_MBS	1825.0	125.0	1800.0	1725.0	1713	1531
A7_MBS	5166.0	371.0	5105.0	4897.0	4839	4296
A8_MBS	0.0	0.0	0.0	0.0	0	0
A9_MBS	34097.0	1278.0	33845.5	16283.0	16145	14481
A10_MBS	20425.0	682.5	20275.0	8836.0	8768	7845
A11_MBS	30518.0	1002.5	30309.0	12435.0	12328	10942
A12_MBS	33963.0	1624.5	33666.5	21598.0	21449	19102
B1_MBS	44205.0	754.5	43939.5	8589.0	8508	7545
B2_MBS	52771.0	3211.0	52197.0	41363.0	41060	36602
B3_MBS	75479.0	5344.0	74469.0	71713.0	71162	63196
B4_MBS	43770.0	2492.5	43352.5	29737.0	29487	26105
B5_MBS	43116.0	3310.0	42581.5	40642.0	40321	35938
B6_MBS	43519.0	3409.5	42854.0	41230.0	40912	36538
B7_MBS	42997.0	3106.5	42446.0	40398.0	40080	35762
B8_MBS	40584.0	3290.5	40027.5	38467.0	38173	34010
B9_MBS	60684.0	4719.0	59713.0	57651.0	57147	50869
B10_MBS	43771.0	3211.5	43117.5	41683.0	41321	36878
B11_MBS	44567.0	3159.5	44069.0	38593.0	38296	34258
B12_MBS	64161.0	4522.5	63388.0	53557.0	53155	47358
C1_MBS	86331.0	5885.5	85314.5	74938.0	74326	65967
C2_MBS	82845.0	6712.5	81551.0	79088.0	78488	69794
C3_MBS	83171.0	6201.0	82039.5	79510.0	78866	69964
C4_MBS	36856.0	2700.5	36339.5	34287.0	34017	30071
C5_MBS	84720.0	6025.5	83565.5	81195.0	80545	72222
C6_MBS	77897.0	6074.0	76512.0	74089.0	73474	65814
C7_MBS	75959.0	5991.0	74734.0	72179.0	71605	63998
C8_MBS	92896.0	6154.5	91676.0	88503.0	87780	78184
C9_MBS	72275.0	5084.0	71369.5	68871.0	68313	60998
C10_MBS	85284.0	5670.0	84284.0	81454.0	80784	71938
C11_MBS	117609.0	8312.0	116012.0	111111.0	110204	97530
C12_MBS	73902.0	4316.0	73204.0	54143.0	53709	47657
A1_PBS	70985.0	4270.5	70368.5	68078.0	67543	61513
A2_PBS	114146.0	7121.5	113129.0	109723.0	108832	99019
A3_PBS	73730.0	4545.0	73021.0	70402.0	69825	63355
A4_PBS	19654.0	1296.0	19464.5	18443.0	18287	16639
A5_PBS	21958.0	1333.0	21757.5	20687.0	20521	18607
A6_PBS	67022.0	4173.0	66432.5	63972.0	63471	57629
A7_PBS	34670.0	2250.5	34302.0	32735.0	32458	29487
A8_PBS	3177.0	177.5	3143.0	2550.0	2529	2307
A9_PBS	558.0	10.5	554.5	140.0	139	129
A10_PBS	587.0	8.0	584.5	117.0	117	106
A11_PBS	563.0	3.0	563.0	89.0	88	81
A12_PBS	540.0	8.5	536.5	83.0	82	80
B1_PBS	628.0	9.0	625.5	137.0	137	122
B2_PBS	673.0	18.0	670.0	189.0	187	173
B3_PBS	37090.0	2584.0	36699.5	35159.0	34852	31688
B4_PBS	473.0	29.5	464.0	358.0	357	329
B5_PBS	33663.0	2429.0	33321.5	31856.0	31605	28768
B6_PBS	18923.0	1357.5	18747.0	17824.0	17666	16047
B7_PBS	22805.0	1617.5	22583.5	21480.0	21298	19347
B8_PBS	127539.0	9130.0	126290.0	121805.0	120803	109866
B9_PBS	68368.0	4787.0	67736.0	65345.0	64796	58858
B10_PBS	96548.0	7180.5	95676.5	92080.0	91342	83386
B11_PBS	193.0	2.5	191.5	39.0	39	36
B12_PBS	481.0	5.5	476.5	51.0	51	48
C1_PBS	499.0	12.0	498.0	159.0	156	147
C2_PBS	5755.0	391.5	5699.5	5295.0	5255	4795
C3_PBS	8284.0	618.5	8193.0	7579.0	7518	6811
C4_PBS	6243.0	412.0	6180.5	5696.0	5637	5106
C5_PBS	292255.0	21676.5	289297.5	279697.0	277420	252591
C6_PBS	213248.0	15966.0	210887.0	203595.0	201877	183700
C7_PBS	131699.0	9429.0	130244.0	125907.0	124811	113728
C8_PBS	42348.0	2747.0	41984.5	40535.0	40189	36588
C9_PBS	66418.0	4250.5	65863.5	63568.0	63015	57335
C10_PBS	89490.0	5850.5	88642.5	85806.0	85134	77432
C11_PBS	22074.0	1459.0	21877.5	20845.0	20693	18788
C12_PBS	587.0	18.0	583.0	184.0	184	165
Hal_gDNA_150_1	462310.0	93367.0	412722.0	434348.0	305987	282682
Hal_gDNA_150_2	394924.0	79614.5	349626.5	371768.0	261846	242047
Hal_gDNA_150_3	545204.0	109454.0	483973.5	512643.0	361096	334120
Hnep_gDNA_150_1	538604.0	109385.5	477564.0	505663.0	355104	327791
Hnep_gDNA_150_2	587471.0	118991.5	523350.0	550866.0	388183	358424
Hnep_gDNA_150_3	578448.0	117531.0	515091.5	542390.0	381737	352896
Sele_gDNA_150_1	684298.0	145664.5	602085.5	632639.0	334024	295905
Sele_gDNA_150_2	653412.0	135731.0	581519.0	605198.0	286931	250354
Sele_gDNA_150_3	627650.0	136991.0	548620.5	581555.0	295083	259962
