Sample	2μ ORI	AMA1 short ORI	CEN6/ARSH4 ORI	Dummy ORI	RK2 ORI	RSF1010 ORI	UARS1 ORI	p15A ORI	pAL5000 ORI	pAMβ1 ORI	pBBR1 ORI	pBC1 ORI	pIJ101 ORI	pIP501 ORI	pNG2 ORI	pSC101ts ORI	pSG5 ORI	pSa ORI	pUB110 ORI	pWKS1 ORI	panARS ORI	panARS-opt ORI	sfYFP
20230427-01-A1-WPS-SB	0.0	0.0	0.0	0.0	26.73	0.49	0.0	295.14	0.0	0.0	1.53	0.0	0.0	0.0	0.0	0.0	0.0	33.48	0.0	0.0	0.0	0.0	0.0
20230427-02-A2-WPS-SB	0.0	0.0	0.0	0.0	3.0	0.15	0.0	45.56	0.0	0.0	0.09	0.0	0.0	0.0	1.2	0.0	0.0	3.87	0.0	0.0	0.0	0.0	0.0
20230427-03-A3-WPS-SB	0.0	0.0	0.0	0.0	4.76	0.3	0.0	46.73	0.0	0.0	0.07	0.0	0.0	0.0	4.03	0.0	0.0	4.64	0.0	0.0	0.0	0.0	0.0
20230427-04-A4-WPS-SB	0.11	0.05	0.0	0.0	61.03	0.41	0.33	0.95	0.06	0.0	4.3	0.0	0.0	0.0	0.25	0.0	0.0	88.19	0.0	0.0	0.23	0.32	0.0
20230427-05-A5-WPS-SB	0.0	0.06	0.0	0.0	190.25	0.8	0.0	0.42	0.0	0.0	36.53	0.11	0.05	0.0	0.17	0.0	0.0	126.15	0.08	0.0	0.0	0.34	0.41
20230427-06-A6-WPS-SB	0.33	0.0	0.34	0.0	401.18	0.45	1.23	0.9	0.08	0.0	28.76	0.35	0.0	0.0	0.07	0.29	0.07	160.23	0.0	0.28	0.62	0.2	0.27
20230427-07-A7-WPS-SB	1.23	0.57	1.03	1.31	2.09	0.04	3.82	8.3	3.46	0.0	1.61	1.36	1.09	0.2	0.16	1.39	1.15	3.19	0.93	2.81	2.94	1.78	7.23
20230427-08-A8-WPS-SB	0.17	0.0	0.0	0.0	0.07	0.0	0.06	0.14	0.06	0.01	0.0	0.0	0.12	0.0	0.0	0.0	0.04	0.34	0.0	0.0	0.13	0.0	0.0
20230427-09-A9-WPS-SB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.04	0.0	0.0	0.0
20230427-10-A10-WPS-SB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.08	0.0	0.0	0.0
20230427-11-A11-WPS-SB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0
